直播间标题,开播时间,下播时间,直播时长,人气峰值,观看人次,点赞,平均在线,平均停留时长,留存率,弹幕数,新增粉丝,互动率,,,,,,,
《原神》1.6新版本前瞻特别节目,2021/05/28 19:41:03,2021/05/28 21:24:08,1小时43分5秒,18189,174393,482329,8781,4分53秒,--,0,2599,4.48%,,,,,,,
《原神》2.0新版本前瞻特别节目,2021/07/09 19:41:11,2021/07/09 21:19:24,1小时38分13秒,81957,810582,8304048,56876,6分58秒,--,0,12147,2.63%,,,,,,,
《原神》2.1新版本前瞻特别节目,2021/08/20 20:41:13,2021/08/20 22:17:11,1小时35分58秒,122565,789512,10608681,89718,10分48秒,83.22%,0,9527,3.49%,,,,,,,
《原神》2.2版本前瞻特别节目,2021/10/03 19:52:04,2021/10/03 22:25:46,2小时33分41秒,147917,1171293,6563431,56856,7分2秒,65.98%,61123,16951,5.22%,,,,,,,
《原神》2.3版本前瞻特别节目,2021/11/12 19:52:24,2021/11/12 21:21:22,1小时28分57秒,71508,361253,1446323,33202,7分54秒,52.18%,24528,3111,3.26%,,,,,,,
《原神》2.4版本前瞻特别节目,2021/12/26 19:52:20,2021/12/26 21:22:00,1小时29分40秒,139582,774084,3760641,72506,8分10秒,90.62%,34732,11537,2.62%,,,,,,,
《原神》2.5版本前瞻特别节目,2022/02/04 19:46:29,2022/02/04 20:55:19,1小时8分49秒,163363,984229,7969786,101351,6分55秒,86.93%,31553,13619,2.20%,,,,,,,
《原神》2.6版本前瞻特别节目,2022/03/18 19:47:31,2022/03/18 21:16:27,1小时28分55秒,172493,1037892,6522122,87347,7分,80.17%,38984,13032,2.22%,,,,,,,
《原神》2.7版本前瞻特别节目,2022/05/20 19:38:39,2022/05/20 21:05:07,1小时26分28秒,158232,873203,5385333,70213,6分57秒,78.95%,36685,17236,2.61%,,,,,,,
《原神》2.8版本前瞻特别节目,2022/07/02 19:44:24,2022/07/02 21:18:57,1小时34分33秒,252982,1970686,10212317,121671,5分45秒,63.71%,34595,32799,1.24%,,,,,,,
《原神》3.1版本前瞻特别节目,2022/09/16 19:44:11,2022/09/16 21:15:59,1小时31分48秒,219505,6390387,8543586,187077,2分16秒,60.77%,37441,27592,0.38%,,,,,,,
《原神》3.2版本前瞻特别节目,2022/10/23 19:45:34,2022/10/23 21:40:18,1小时54分44秒,273326,1879169,6858705,126169,7分28秒,77.02%,42077,26017,1.42%,,,,,,,
《原神》3.3版本前瞻特别节目,2022/11/25 19:45:21,2022/11/25 21:31:46,1小时46分25秒,296219,1878304,7253638,137688,7分53秒,78.79%,64164,26229,2.01%,,,,,,,
《原神》3.5版本前瞻特别节目,2023/02/17 19:45:08,2023/02/17 21:31:28,1小时46分20秒,268379,1796588,3254543,134383,7分2秒,54.65%,37099,25148,1.14%,,,,,,,
《原神》3.6版本前瞻特别节目,2023/03/31 19:45:29,2023/03/31 21:00:41,1小时15分12秒,199760,727737,2278363,94053,9分39秒,63.00%,30326,10983,2.35%,,,,,,,
《原神》3.7版本前瞻特别节目,2023/05/13 19:44:39,2023/05/13 21:05:52,1小时21分13秒,214447,1386294,3220770,92258,5分16秒,55.33%,34426,18305,1.47%,,,,,,,
《原神》3.8版本前瞻特别节目,2023/06/23 19:45:25,2023/06/23 21:16:13,1小时30分48秒,180853,1419405,3360096,81605,5分17秒,58.84%,35862,17099,1.51%,,,,,,,
《原神》4.0版本前瞻特别节目,2023/08/04 19:19:58,2023/08/04 20:51:00,1小时31分2秒,302020,2248288,7995482,217430,8分49秒,60.58%,41816,30378,1.27%,,,,,,,
《原神》4.1版本前瞻特别节目,2023/09/15 19:15:34,2023/09/15 20:55:32,1小时39分58秒,197789,2243038,5003071,138013,6分17秒,66.90%,40875,26578,1.18%,,,,,,,
《原神》4.2版本前瞻特别节目,2023/11/03 19:54:59,2023/11/03 21:46:15,1小时51分16秒,212120,2195237,3967536,95259,5分10秒,39.56%,7636,25416,0.28%,,,,,,,
《原神》4.3版本前瞻特别节目,2023/12/08 19:45:28,2023/12/08 21:29:35,1小时44分7秒,208362,1862306,3241883,118149,6分35秒,48.08%,38588,22429,2.07%,,,,,,,
《原神》4.4版本前瞻特别节目,2024/01/19 19:47:25,2024/01/19 21:32:21,1小时44分56秒,212804,1840188,4293883,117832,6分50秒,57.70%,44626,18857,1.39%,,,,,,,
《原神》4.5版本前瞻特别节目,2024/03/01 19:45:24,2024/03/01 20:51:52,1小时6分28秒,110799,831696,971234,53249,4分23秒,43.22%,34868,7768,2.29%,,,,,,,
